symbol,strike,option_type,expiry,entry_time,entry_price,quantity,lots,sl_price,sl2_price,is_hedge,exit_time,exit_price,exit_reason,pnl
NIFTY,24350,CE,2026-04-21,2026-04-16 09:20:00,125.55,-650,10,153.15,,False,2026-04-16 09:27:00,119.45,RMS_INVALID_STRIKE,3964.9999999999964
NIFTY,24350,PE,2026-04-21,2026-04-16 09:20:00,246.15,-650,10,300.3,,False,2026-04-16 09:27:00,254.4,RMS_INVALID_STRIKE,-5362.5
NIFTY,24100,CE,2026-04-21,2026-04-16 09:27:00,248.55,-650,10,303.25,,False,2026-04-16 09:28:00,253.5,RMS_INVALID_STRIKE,-3217.4999999999927
NIFTY,24100,PE,2026-04-21,2026-04-16 09:27:00,134.55,-650,10,164.15,,False,2026-04-16 09:28:00,131.35,RMS_INVALID_STRIKE,2080.000000000011
NIFTY,24300,CE,2026-04-21,2026-04-16 09:20:00,147.1,-650,10,179.45,,False,2026-04-16 09:38:00,124.55,RMS_INVALID_STRIKE,14657.499999999998
NIFTY,24300,PE,2026-04-21,2026-04-16 09:20:00,218.1,-650,10,266.1,,False,2026-04-16 09:38:00,257.9,RMS_INVALID_STRIKE,-25869.99999999999
NIFTY,24150,PE,2026-04-21,2026-04-16 09:20:00,148.15,-650,10,180.75,,False,2026-04-16 09:38:00,181.2,SL_HIT,-21482.49999999999
NIFTY,24050,CE,2026-04-21,2026-04-16 09:38:00,254.55,-650,10,310.55,,False,2026-04-16 09:40:00,261.3,RMS_INVALID_STRIKE,-4387.5
NIFTY,24050,PE,2026-04-21,2026-04-16 09:38:00,138.1,-650,10,168.5,,False,2026-04-16 09:40:00,132.65,RMS_INVALID_STRIKE,3542.4999999999927
NIFTY,24200,PE,2026-04-21,2026-04-16 09:20:00,169.35,-650,10,206.6,,False,2026-04-16 09:59:00,207.0,SL_HIT,-24472.500000000004
NIFTY,24150,CE,2026-04-21,2026-04-16 09:20:00,227.1,-650,10,277.05,,False,2026-04-16 15:15:00,200.75,EOD_SQUAREOFF,17127.499999999996
NIFTY,24200,CE,2026-04-21,2026-04-16 09:20:00,198.35,-650,10,242.0,,False,2026-04-16 15:15:00,173.95,EOD_SQUAREOFF,15860.000000000004
NIFTY,24250,CE,2026-04-21,2026-04-16 09:20:00,171.55,-650,10,209.3,,False,2026-04-16 15:15:00,151.0,EOD_SQUAREOFF,13357.500000000007
NIFTY,24250,PE,2026-04-21,2026-04-16 09:20:00,193.25,-650,10,235.75,,False,2026-04-16 15:15:00,231.05,EOD_SQUAREOFF,-24570.000000000007
