symbol,strike,option_type,expiry,entry_time,entry_price,quantity,lots,sl_price,sl2_price,is_hedge,exit_time,exit_price,exit_reason,pnl
SENSEX,78000,CE,2026-04-16,2026-04-15 09:20:00,457.9,-800,40,549.5,,False,2026-04-15 10:10:00,479.15,RMS_INVALID_STRIKE,-17000.0
SENSEX,78100,CE,2026-04-16,2026-04-15 10:10:00,419.0,-800,40,502.8,,False,2026-04-15 15:15:00,338.05,EOD_SQUAREOFF,64759.99999999999
SENSEX,80000,CE,2026-04-16,2026-04-15 09:24:00,15.35,400,20,,,True,2026-04-15 15:15:00,11.0,EOD_SQUAREOFF,-1739.9999999999998
