date,index,date_time,trading_symbol,type,option_type,strike,open,high,low,close,volume,open_interest,expiry_date
2026-04-15,NIFTY,2026-04-15 09:15:00+05:30,NIFTY 50,SPOT,,,24163.8,24280.9,24162.7,24232.9,0,,
2026-04-15,NIFTY,2026-04-15 09:16:00+05:30,NIFTY 50,SPOT,,,24225.5,24238.8,24205.2,24232.0,0,,
2026-04-15,NIFTY,2026-04-15 09:17:00+05:30,NIFTY 50,SPOT,,,24231.05,24237.7,24214.4,24228.8,0,,
2026-04-15,NIFTY,2026-04-15 09:18:00+05:30,NIFTY 50,SPOT,,,24227.6,24241.9,24222.6,24231.45,0,,
2026-04-15,NIFTY,2026-04-15 09:19:00+05:30,NIFTY 50,SPOT,,,24230.3,24235.3,24224.6,24230.85,0,,
2026-04-15,NIFTY,2026-04-15 09:20:00+05:30,NIFTY 50,SPOT,,,24231.6,24234.7,24226.55,24231.25,0,,
2026-04-15,NIFTY,2026-04-15 09:21:00+05:30,NIFTY 50,SPOT,,,24231.85,24233.3,24214.9,24219.65,0,,
2026-04-15,NIFTY,2026-04-15 09:22:00+05:30,NIFTY 50,SPOT,,,24217.7,24228.7,24211.5,24218.45,0,,
2026-04-15,NIFTY,2026-04-15 09:23:00+05:30,NIFTY 50,SPOT,,,24217.0,24225.75,24216.25,24222.95,0,,
2026-04-15,NIFTY,2026-04-15 09:24:00+05:30,NIFTY 50,SPOT,,,24222.8,24223.75,24206.75,24208.85,0,,
2026-04-15,NIFTY,2026-04-15 09:25:00+05:30,NIFTY 50,SPOT,,,24209.2,24212.9,24203.15,24212.65,0,,
2026-04-15,NIFTY,2026-04-15 09:26:00+05:30,NIFTY 50,SPOT,,,24212.75,24212.75,24204.85,24207.05,0,,
2026-04-15,NIFTY,2026-04-15 09:27:00+05:30,NIFTY 50,SPOT,,,24207.85,24210.85,24190.05,24190.05,0,,
2026-04-15,NIFTY,2026-04-15 09:28:00+05:30,NIFTY 50,SPOT,,,24190.05,24194.95,24184.1,24191.85,0,,
2026-04-15,NIFTY,2026-04-15 09:29:00+05:30,NIFTY 50,SPOT,,,24191.3,24195.45,24186.05,24192.45,0,,
2026-04-15,NIFTY,2026-04-15 09:30:00+05:30,NIFTY 50,SPOT,,,24193.5,24194.7,24176.35,24183.25,0,,
2026-04-15,NIFTY,2026-04-15 09:31:00+05:30,NIFTY 50,SPOT,,,24182.55,24183.2,24174.65,24179.05,0,,
2026-04-15,NIFTY,2026-04-15 09:32:00+05:30,NIFTY 50,SPOT,,,24178.9,24183.35,24172.8,24182.85,0,,
2026-04-15,NIFTY,2026-04-15 09:33:00+05:30,NIFTY 50,SPOT,,,24182.75,24187.15,24171.55,24175.85,0,,
2026-04-15,NIFTY,2026-04-15 09:34:00+05:30,NIFTY 50,SPOT,,,24177.1,24177.4,24164.15,24168.9,0,,
2026-04-15,NIFTY,2026-04-15 09:35:00+05:30,NIFTY 50,SPOT,,,24168.05,24174.05,24167.35,24171.5,0,,
2026-04-15,NIFTY,2026-04-15 09:36:00+05:30,NIFTY 50,SPOT,,,24170.0,24179.85,24170.0,24173.25,0,,
2026-04-15,NIFTY,2026-04-15 09:37:00+05:30,NIFTY 50,SPOT,,,24172.5,24176.7,24170.7,24173.15,0,,
2026-04-15,NIFTY,2026-04-15 09:38:00+05:30,NIFTY 50,SPOT,,,24171.8,24175.75,24147.5,24147.5,0,,
2026-04-15,NIFTY,2026-04-15 09:39:00+05:30,NIFTY 50,SPOT,,,24147.7,24158.2,24145.8,24151.35,0,,
2026-04-15,NIFTY,2026-04-15 09:40:00+05:30,NIFTY 50,SPOT,,,24151.05,24175.4,24149.7,24174.85,0,,
2026-04-15,NIFTY,2026-04-15 09:41:00+05:30,NIFTY 50,SPOT,,,24175.2,24182.1,24173.45,24180.55,0,,
2026-04-15,NIFTY,2026-04-15 09:42:00+05:30,NIFTY 50,SPOT,,,24180.4,24189.95,24180.4,24187.15,0,,
2026-04-15,NIFTY,2026-04-15 09:43:00+05:30,NIFTY 50,SPOT,,,24187.0,24208.6,24186.4,24208.6,0,,
2026-04-15,NIFTY,2026-04-15 09:44:00+05:30,NIFTY 50,SPOT,,,24209.5,24215.95,24206.8,24207.35,0,,
2026-04-15,NIFTY,2026-04-15 09:45:00+05:30,NIFTY 50,SPOT,,,24207.05,24221.95,24207.05,24219.4,0,,
2026-04-15,NIFTY,2026-04-15 09:46:00+05:30,NIFTY 50,SPOT,,,24219.4,24225.2,24218.6,24223.05,0,,
