2026-04-16 17:25:02,652 | INFO | total_pnl: 46020.0
2026-04-16 17:25:02,653 | INFO | avg_daily_pnl: 46020.0
2026-04-16 17:25:02,653 | INFO | max_daily_profit: 46020.0
2026-04-16 17:25:02,655 | INFO | max_daily_loss: 46020.0
2026-04-16 17:25:02,656 | INFO | total_trades: 3
2026-04-16 17:25:02,657 | INFO | avg_trades_per_day: 3.0
2026-04-16 17:25:02,658 | INFO | winning_trades: 1
2026-04-16 17:25:02,659 | INFO | losing_trades: 2
2026-04-16 17:25:02,660 | INFO | avg_trade_pnl: 15340.0
2026-04-16 17:25:02,660 | INFO | max_trade_profit: 64760.0
2026-04-16 17:25:02,660 | INFO | max_trade_loss: -17000.0
2026-04-16 17:25:02,756 | INFO | Daily stats saved to results/sensex\SENSEX_daily_stats.csv
2026-04-16 17:25:02,776 | INFO | Trades saved to results/sensex\SENSEX_trades.csv
2026-04-16 17:25:02,784 | INFO | 
Results saved to: {'daily_stats': 'results/sensex\\SENSEX_daily_stats.csv', 'trades': 'results/sensex\\SENSEX_trades.csv', 'log': 'results/sensex\\SENSEX_log.csv', 'summary': 'results/sensex\\SENSEX_summary.json'}
2026-04-16 17:25:02,785 | INFO | 
============================================================
2026-04-16 17:25:02,786 | INFO | DAILY BREAKDOWN
2026-04-16 17:25:02,787 | INFO | ============================================================
2026-04-16 17:28:02,361 | INFO | ============================================================
2026-04-16 17:28:02,372 | INFO | SENSEX BACKTEST STARTING
2026-04-16 17:28:02,374 | INFO | ============================================================
2026-04-16 17:28:06,401 | INFO | Loaded 375 spot records, 197797 option records
2026-04-16 17:28:06,404 | INFO | ============================================================
2026-04-16 17:28:06,405 | INFO | OSTRAD BACKTEST: SENSEX
2026-04-16 17:28:06,407 | INFO | Period: 2026-04-15 to 2026-04-15
2026-04-16 17:28:06,408 | INFO | ============================================================
2026-04-16 17:28:06,564 | INFO | SENSEX: 375 spot candles, 197797 option records
2026-04-16 17:31:47,361 | INFO | 
============================================================
